学号,姓名,语文,数学,英语,物理,化学,生物
20240052,学生52,50,75,65,52,63,97
20240053,学生53,86,60,50,58,79,42
20240054,学生54,56,57,40,83,41,57
20240055,学生55,42,57,90,79,50,96
20240056,学生56,93,54,72,60,64,79
20240057,学生57,40,94,76,45,50,42
20240058,学生58,65,44,58,65,88,75
20240059,学生59,90,53,57,74,66,75
20240060,学生60,56,84,88,97,43,41
20240061,学生61,49,61,88,66,94,90
20240062,学生62,65,42,55,75,45,48
20240063,学生63,45,63,50,40,46,42
20240064,学生64,43,96,71,62,60,85
20240065,学生65,89,93,42,80,70,65
20240066,学生66,42,81,79,46,43,62
20240067,学生67,51,57,51,61,82,75
20240068,学生68,98,92,94,79,43,77
20240069,学生69,40,75,55,61,65,47
20240070,学生70,77,52,92,44,52,45
20240071,学生71,46,45,96,62,42,62
20240072,学生72,98,71,46,65,41,90
20240073,学生73,83,43,60,57,55,45
20240074,学生74,73,96,76,75,48,89
20240075,学生75,58,84,93,95,48,86
20240076,学生76,88,98,46,54,100,93
20240077,学生77,74,64,77,65,55,81
20240078,学生78,75,74,93,83,59,84
20240079,学生79,78,73,61,96,96,97
20240080,学生80,49,66,90,82,96,57
20240081,学生81,68,92,43,57,44,75
20240082,学生82,88,95,60,64,59,68
20240083,学生83,45,63,82,64,95,75
20240084,学生84,48,57,41,66,51,41
20240085,学生85,97,80,85,88,67,96
20240086,学生86,56,54,78,59,57,54
20240087,学生87,79,88,82,87,58,57
20240088,学生88,47,41,90,40,56,78
20240089,学生89,94,85,43,83,53,95
20240090,学生90,80,55,75,78,67,77
20240091,学生91,56,95,95,72,51,56
20240092,学生92,75,41,87,89,75,99
20240093,学生93,49,41,48,47,78,62
20240094,学生94,89,56,49,59,72,67
20240095,学生95,88,63,48,70,55,40
20240096,学生96,43,73,50,41,84,70
20240097,学生97,66,94,82,92,66,76
20240098,学生98,56,57,61,45,79,99
20240099,学生99,40,71,76,61,96,81
20240100,学生100,68,78,98,98,59,42
20240101,学生101,79,90,86,94,82,65
20240102,学生102,69,83,75,97,90,47
20240103,学生103,74,96,91,61,51,61
20240104,学生104,60,84,72,56,79,68
20240105,学生105,79,68,85,92,85,67
20240106,学生106,86,81,60,90,79,60
20240107,学生107,70,91,84,79,54,72
20240108,学生108,96,45,52,99,46,81
20240109,学生109,69,85,50,65,91,96
20240110,学生110,47,70,89,60,44,80
20240111,学生111,79,55,69,43,58,61
20240112,学生112,88,91,46,96,70,47
20240113,学生113,40,74,79,79,98,83
20240114,学生114,78,78,51,92,54,80
20240115,学生115,71,57,99,55,74,46
20240116,学生116,78,68,88,62,93,45
20240117,学生117,74,57,67,90,99,92
20240118,学生118,57,69,48,86,49,41
20240119,学生119,80,63,95,61,59,55
20240120,学生120,40,96,46,88,97,81
20240121,学生121,79,78,78,68,67,63
20240122,学生122,48,98,65,59,52,40
20240123,学生123,94,81,85,75,62,76
20240124,学生124,78,57,58,100,90,48
20240125,学生125,56,75,91,86,64,75
20240126,学生126,45,64,87,91,51,44
20240127,学生127,97,72,96,45,88,55
20240128,学生128,99,72,95,66,89,51
20240129,学生129,75,86,89,94,43,84
20240130,学生130,92,96,82,62,44,48
20240131,学生131,88,64,62,97,78,90
20240132,学生132,91,79,91,42,92,43
20240133,学生133,70,82,65,78,72,45
20240134,学生134,78,85,93,82,70,49
20240135,学生135,81,94,53,52,77,95
20240136,学生136,96,66,82,67,87,64
20240137,学生137,47,40,82,62,53,87
20240138,学生138,55,55,51,43,75,80
20240139,学生139,54,87,53,79,69,92
20240140,学生140,43,94,58,60,52,55
20240141,学生141,91,88,58,65,96,67
20240142,学生142,74,85,72,65,74,49
20240143,学生143,99,68,81,50,62,48
20240144,学生144,57,51,85,100,64,82
20240145,学生145,55,69,68,80,51,93
20240146,学生146,99,78,89,100,47,86
20240147,学生147,90,62,92,77,95,86
20240148,学生148,83,84,55,98,46,44
20240149,学生149,70,78,52,76,93,91
20240150,学生150,83,77,85,67,68,85
20240151,学生151,75,90,92,87,59,98
20240152,学生152,58,98,49,63,54,97
20240153,学生153,83,78,98,65,91,62
20240154,学生154,60,87,89,90,95,65
20240155,学生155,81,48,88,50,88,86
20240156,学生156,69,45,93,50,55,55
20240157,学生157,51,52,89,59,41,47
20240158,学生158,42,42,91,49,48,51
20240159,学生159,75,66,93,86,65,97
20240160,学生160,67,87,80,76,61,85
20240161,学生161,50,58,46,67,83,46
20240162,学生162,74,98,83,97,81,54
20240163,学生163,65,45,65,47,57,68
20240164,学生164,69,94,97,51,89,93
20240165,学生165,65,72,93,51,79,41
20240166,学生166,43,98,67,50,80,54
20240167,学生167,64,66,52,52,44,72
20240168,学生168,74,85,40,40,46,79
20240169,学生169,44,49,71,52,83,74
20240170,学生170,66,83,69,82,52,92
20240171,学生171,54,62,74,76,64,64
20240172,学生172,64,89,40,68,46,67
20240173,学生173,99,64,82,80,56,69
20240174,学生174,58,79,97,55,54,48
20240175,学生175,93,42,53,98,85,40
20240176,学生176,41,63,78,72,72,51
20240177,学生177,87,44,98,82,95,79
20240178,学生178,42,52,43,90,55,59
20240179,学生179,46,67,51,51,72,51
20240180,学生180,83,79,68,84,62,48
20240181,学生181,89,68,57,91,97,70
20240182,学生182,53,43,48,42,59,50
20240183,学生183,58,84,69,64,74,50
20240184,学生184,69,72,74,56,99,76
20240185,学生185,49,77,73,74,43,69
20240186,学生186,89,83,55,64,65,88
20240187,学生187,89,77,62,98,48,51
20240188,学生188,98,85,42,90,55,97
20240189,学生189,40,52,89,69,90,70
20240190,学生190,68,76,70,83,91,45
20240191,学生191,66,56,68,74,51,73
20240192,学生192,49,67,55,60,92,83
20240193,学生193,85,98,92,56,66,54
20240194,学生194,64,47,76,85,42,60
20240195,学生195,71,62,51,54,45,98
20240196,学生196,99,56,58,78,86,80
20240197,学生197,41,52,50,89,83,84
20240198,学生198,40,47,91,54,77,55
20240199,学生199,52,57,51,56,65,75
20240200,学生200,66,81,77,63,73,84
20240201,学生201,75,69,42,63,97,50
20240202,学生202,46,88,70,66,74,88
20240203,学生203,99,88,82,62,86,41
20240204,学生204,61,43,98,82,96,94
20240205,学生205,88,59,65,40,74,59
20240206,学生206,83,60,47,67,50,87
20240207,学生207,69,80,41,57,79,62
20240208,学生208,46,66,50,50,70,52
20240209,学生209,67,52,82,98,98,64
20240210,学生210,60,48,93,88,66,71
20240211,学生211,66,93,83,76,89,99
20240212,学生212,87,91,44,40,96,40
20240213,学生213,65,45,71,52,59,41
20240214,学生214,55,75,67,45,73,68
20240215,学生215,74,96,93,100,59,50
20240216,学生216,54,45,79,80,49,67
20240217,学生217,44,68,53,63,89,92
20240218,学生218,94,66,96,99,98,60
20240219,学生219,47,94,69,91,64,52
20240220,学生220,51,89,49,51,71,64
20240221,学生221,92,90,85,74,84,82
20240222,学生222,66,91,59,82,55,84
20240223,学生223,74,68,67,74,88,76
20240224,学生224,73,99,55,41,80,65
20240225,学生225,57,76,66,65,58,45
20240226,学生226,60,100,40,74,83,95
20240227,学生227,89,82,73,48,94,71
20240228,学生228,69,48,56,67,92,46
20240229,学生229,50,92,60,81,62,82
20240230,学生230,53,50,82,40,71,61
20240231,学生231,80,78,79,48,83,94
20240232,学生232,99,73,53,62,87,77
20240233,学生233,60,77,53,85,98,99
20240234,学生234,93,47,76,70,48,64
20240235,学生235,73,80,82,96,67,69
20240236,学生236,75,84,54,85,62,69
20240237,学生237,77,94,73,100,84,88
20240238,学生238,74,47,71,66,46,85
20240239,学生239,47,99,73,55,94,90
20240240,学生240,44,76,62,68,86,70
20240241,学生241,72,87,54,55,53,46
20240242,学生242,58,87,64,95,84,99
20240243,学生243,40,48,69,41,84,90
20240244,学生244,63,43,65,59,52,67
20240245,学生245,84,92,99,59,45,74
20240246,学生246,86,72,86,54,53,99
20240247,学生247,98,67,68,99,49,91
20240248,学生248,52,44,43,83,61,48
20240249,学生249,59,81,87,48,52,50
20240250,学生250,69,98,74,42,81,80
20240251,学生251,61,49,98,80,63,86
20240252,学生252,46,48,92,89,74,69
20240253,学生253,71,94,56,65,70,48
20240254,学生254,58,97,56,57,95,61
20240255,学生255,96,68,59,90,67,58
20240256,学生256,59,54,54,59,63,91
20240257,学生257,69,48,95,74,91,75
20240258,学生258,86,55,90,82,83,77
20240259,学生259,52,59,63,73,41,51
20240260,学生260,52,83,50,100,91,62
20240261,学生261,67,64,57,55,65,60
20240262,学生262,55,58,70,87,98,68
20240263,学生263,93,71,67,78,99,92
20240264,学生264,66,69,72,59,97,84
20240265,学生265,64,49,80,74,75,84
20240266,学生266,71,96,63,49,47,66
20240267,学生267,68,42,67,73,63,51
20240268,学生268,83,72,47,82,73,97
20240269,学生269,79,71,64,84,90,56
20240270,学生270,87,99,49,63,98,94
20240271,学生271,44,93,77,64,73,79
20240272,学生272,74,96,58,82,71,65
20240273,学生273,76,67,67,50,65,75
20240274,学生274,64,91,69,79,67,81
20240275,学生275,63,60,50,56,90,70
20240276,学生276,52,99,85,100,62,42
20240277,学生277,95,52,59,70,54,49
20240278,学生278,85,48,81,80,81,53
20240279,学生279,59,74,61,91,95,73
20240280,学生280,45,50,51,65,85,43
20240281,学生281,62,40,64,66,89,87
20240282,学生282,49,48,87,88,92,43
20240283,学生283,90,88,65,87,49,69
20240284,学生284,82,48,43,86,56,96
20240285,学生285,97,54,76,87,58,85
20240286,学生286,51,75,57,58,77,98
20240287,学生287,99,90,85,51,48,53
20240288,学生288,53,40,64,54,94,57
20240289,学生289,75,96,46,72,62,69
20240290,学生290,99,92,99,51,96,68
20240291,学生291,84,60,89,57,57,93
20240292,学生292,99,98,80,66,86,60
20240293,学生293,40,61,77,88,94,65
20240294,学生294,74,54,68,71,94,54
20240295,学生295,86,91,75,53,40,92
20240296,学生296,74,100,82,79,53,75
20240297,学生297,42,76,77,100,85,51
20240298,学生298,67,52,87,80,54,57
20240299,学生299,76,88,98,42,98,41
20240300,学生300,94,53,65,68,50,57
20240301,学生301,79,100,95,68,46,57
20240302,学生302,81,55,60,86,88,55
20240303,学生303,77,70,77,90,79,70
20240304,学生304,69,79,90,84,47,72
20240305,学生305,68,53,43,77,52,98
20240306,学生306,74,78,45,52,64,59
20240307,学生307,49,42,84,55,72,47
20240308,学生308,68,80,71,61,98,89
20240309,学生309,82,51,54,62,94,57
20240310,学生310,73,95,41,96,68,96
20240311,学生311,95,77,86,64,68,85
20240312,学生312,91,48,81,78,75,63
20240313,学生313,57,49,73,65,43,79
20240314,学生314,97,74,44,86,44,65
20240315,学生315,80,85,96,85,80,44
20240316,学生316,86,88,50,44,80,71
20240317,学生317,93,82,74,67,40,81
20240318,学生318,47,76,47,95,94,89
20240319,学生319,85,74,60,80,55,60
20240320,学生320,43,85,46,63,88,71
20240321,学生321,45,73,58,63,73,86
20240322,学生322,81,49,89,81,89,58
20240323,学生323,91,63,77,94,92,49
20240324,学生324,93,40,92,48,92,52
20240325,学生325,52,73,56,45,81,74
20240326,学生326,61,78,54,45,45,67
20240327,学生327,52,44,80,57,45,56
20240328,学生328,98,56,61,45,92,90
20240329,学生329,60,99,86,87,97,93
20240330,学生330,99,94,82,65,93,90
20240331,学生331,53,63,98,66,69,65
20240332,学生332,83,98,51,77,86,52
20240333,学生333,66,45,73,69,58,57
20240334,学生334,58,42,56,61,40,59
20240335,学生335,88,59,48,79,64,62
20240336,学生336,42,96,41,46,68,62
20240337,学生337,82,59,99,42,59,99
20240338,学生338,53,52,88,73,60,97
20240339,学生339,91,88,92,68,61,76
20240340,学生340,69,71,52,88,57,41
20240341,学生341,92,79,59,92,52,99
20240342,学生342,82,65,67,48,46,84
20240343,学生343,64,62,73,77,77,62
20240344,学生344,56,70,84,100,49,93
20240345,学生345,99,90,78,90,64,41
20240346,学生346,43,47,72,57,59,43
20240347,学生347,75,48,77,67,95,53
20240348,学生348,77,85,60,66,91,49
20240349,学生349,64,45,72,83,78,65
20240350,学生350,78,76,50,44,79,40
20240351,学生351,81,59,49,41,44,45
20240352,学生352,50,73,47,94,72,85
20240353,学生353,83,80,44,54,45,92
20240354,学生354,65,48,45,66,81,78
20240355,学生355,89,65,50,85,89,92
20240356,学生356,79,88,96,47,94,82
20240357,学生357,55,84,61,87,64,53
20240358,学生358,93,85,69,59,79,71
20240359,学生359,69,69,69,67,84,97
20240360,学生360,53,93,56,89,71,55
20240361,学生361,47,94,68,98,98,60
20240362,学生362,90,66,79,48,89,94
20240363,学生363,59,45,44,79,69,71
20240364,学生364,60,90,56,58,54,93
20240365,学生365,91,62,68,49,98,65
20240366,学生366,92,92,70,83,91,55
20240367,学生367,52,99,68,42,91,95
20240368,学生368,80,83,41,95,95,45
20240369,学生369,83,56,91,67,53,93
20240370,学生370,51,69,54,60,63,96
20240371,学生371,42,74,80,90,100,95
20240372,学生372,93,45,70,71,80,89
20240373,学生373,49,77,64,67,87,48
20240374,学生374,80,93,63,74,88,44
20240375,学生375,58,40,96,89,71,70
20240376,学生376,66,73,69,52,66,42
20240377,学生377,86,86,87,50,52,44
20240378,学生378,70,56,97,43,64,43
20240379,学生379,44,90,87,91,55,78
20240380,学生380,46,48,97,99,77,66
20240381,学生381,57,44,77,83,57,70
20240382,学生382,77,70,43,88,81,53
20240383,学生383,65,100,68,85,91,56
20240384,学生384,68,40,90,64,69,52
20240385,学生385,70,54,96,93,79,83
20240386,学生386,41,40,41,65,66,100
20240387,学生387,57,84,59,53,83,88
20240388,学生388,59,55,85,56,97,59
20240389,学生389,95,99,84,100,53,100
20240390,学生390,82,96,77,57,45,53
20240391,学生391,96,48,98,92,54,92
20240392,学生392,80,51,73,45,43,72
20240393,学生393,86,52,83,56,65,89
20240394,学生394,68,56,49,52,57,61
20240395,学生395,88,74,89,92,76,84
20240396,学生396,97,54,87,90,49,75
20240397,学生397,71,68,91,58,47,67
20240398,学生398,70,56,76,88,74,51
20240399,学生399,52,71,81,45,41,84
20240400,学生400,85,80,98,77,81,87
20240401,学生401,54,95,57,50,98,74
20240402,学生402,92,82,65,92,72,51
20240403,学生403,89,81,83,65,92,92
20240404,学生404,45,90,47,43,47,92
20240405,学生405,75,65,95,86,84,99
20240406,学生406,48,95,40,82,43,64
20240407,学生407,45,97,43,78,89,87
20240408,学生408,68,48,43,43,98,47
20240409,学生409,93,98,93,43,81,87
20240410,学生410,73,100,84,51,93,91
20240411,学生411,76,74,59,80,71,57
20240412,学生412,80,50,85,43,44,70
20240413,学生413,53,71,75,63,80,92
20240414,学生414,95,98,92,68,97,80
20240415,学生415,42,40,49,55,87,60
20240416,学生416,41,55,58,81,97,44
20240417,学生417,63,57,96,99,82,92
20240418,学生418,92,64,82,79,92,67
20240419,学生419,84,64,62,95,99,61
20240420,学生420,56,62,73,97,72,52
20240421,学生421,66,58,50,59,79,53
20240422,学生422,91,48,68,67,50,87
20240423,学生423,54,89,74,89,90,78
20240424,学生424,68,49,48,46,72,50
20240425,学生425,76,65,87,54,100,68
20240426,学生426,54,61,56,59,86,48
20240427,学生427,91,99,94,88,58,63
20240428,学生428,91,74,83,46,86,56
20240429,学生429,100,41,88,97,60,49
20240430,学生430,82,69,81,69,51,80
20240431,学生431,42,42,48,42,55,51
20240432,学生432,49,50,69,82,83,67
20240433,学生433,48,83,46,81,95,42
20240434,学生434,76,73,81,60,88,82
20240435,学生435,41,49,92,43,87,58
20240436,学生436,55,74,60,58,43,74
20240437,学生437,68,42,58,51,41,70
20240438,学生438,42,92,47,69,93,74
20240439,学生439,84,75,49,69,78,63
20240440,学生440,69,69,47,72,89,45
20240441,学生441,67,73,40,73,44,69
20240442,学生442,48,63,75,97,69,49
20240443,学生443,47,76,79,98,85,89
20240444,学生444,54,94,62,50,51,86
20240445,学生445,49,93,46,85,87,55
20240446,学生446,41,74,92,92,52,72
20240447,学生447,92,85,78,91,56,79
20240448,学生448,45,74,57,77,50,93
20240449,学生449,66,66,68,46,53,53
20240450,学生450,84,84,63,62,44,89
20240451,学生451,47,50,70,71,61,76
20240452,学生452,47,61,47,72,91,49
20240453,学生453,61,66,93,100,54,55
20240454,学生454,68,90,64,47,58,69
20240455,学生455,96,85,87,41,94,59
20240456,学生456,78,66,95,100,75,82
20240457,学生457,62,67,80,93,77,91
20240458,学生458,82,72,99,42,100,85
20240459,学生459,89,72,54,67,67,49
20240460,学生460,42,45,76,89,57,74
20240461,学生461,50,98,96,96,83,66
20240462,学生462,89,52,81,91,87,75
20240463,学生463,54,79,92,47,85,89
20240464,学生464,70,88,96,85,100,55
20240465,学生465,66,42,71,43,75,43
20240466,学生466,73,76,58,48,90,65
20240467,学生467,80,51,96,44,65,65
20240468,学生468,47,42,86,61,84,90
20240469,学生469,98,44,66,51,50,98
20240470,学生470,64,89,42,79,68,61
20240471,学生471,93,70,71,69,71,71
20240472,学生472,86,78,52,92,61,54
20240473,学生473,70,69,60,48,96,99
20240474,学生474,63,52,66,73,52,71
20240475,学生475,65,88,100,46,68,82
20240476,学生476,87,78,60,64,81,58
20240477,学生477,51,59,86,44,53,72
20240478,学生478,97,66,71,59,75,65
20240479,学生479,51,100,63,42,97,78
20240480,学生480,54,96,42,61,93,69
20240481,学生481,97,82,47,67,90,88
20240482,学生482,69,77,92,98,44,53
20240483,学生483,62,42,56,46,46,81
20240484,学生484,50,90,65,75,47,89
20240485,学生485,70,70,98,56,100,72
20240486,学生486,85,90,79,80,66,73
20240487,学生487,89,99,49,95,68,69
20240488,学生488,50,100,93,75,45,97
20240489,学生489,83,71,83,49,51,75
20240490,学生490,65,92,57,69,56,81
20240491,学生491,60,79,55,73,60,55
20240492,学生492,50,86,82,87,44,74
20240493,学生493,99,43,45,94,60,92
20240494,学生494,100,69,54,95,71,67
20240495,学生495,57,98,83,47,43,46
20240496,学生496,43,92,41,96,51,64
20240497,学生497,93,43,71,42,61,49
20240498,学生498,46,46,91,68,57,83
20240499,学生499,64,51,48,71,90,65
20240500,学生500,73,99,80,90,76,71
20240501,学生501,72,78,47,49,90,51
20240502,学生502,53,71,40,66,42,89
20240503,学生503,49,51,81,56,68,62
20240504,学生504,78,59,63,44,100,45
20240505,学生505,74,58,72,61,58,70
20240506,学生506,43,51,87,69,68,52
20240507,学生507,55,74,91,73,95,81
20240508,学生508,75,84,52,91,60,67
20240509,学生509,83,83,45,99,71,75
20240510,学生510,65,49,72,68,79,72
20240511,学生511,48,50,53,50,77,78
20240512,学生512,51,56,43,99,91,44
20240513,学生513,79,53,79,89,82,95
20240514,学生514,67,69,42,96,91,60
20240515,学生515,80,49,40,93,90,62
20240516,学生516,82,62,94,55,98,78
20240517,学生517,63,74,41,94,46,91
20240518,学生518,85,81,46,51,65,91
20240519,学生519,55,68,73,91,58,54
20240520,学生520,67,83,59,92,50,80
20240521,学生521,85,78,66,74,94,71
20240522,学生522,59,95,47,95,67,85
20240523,学生523,92,82,64,90,41,41
20240524,学生524,42,100,85,58,47,90
20240525,学生525,65,47,79,50,41,79
20240526,学生526,46,95,42,99,50,95
20240527,学生527,50,90,70,87,58,82
20240528,学生528,57,68,97,74,72,89
20240529,学生529,74,50,46,48,40,96
20240530,学生530,41,94,88,49,53,94
20240531,学生531,100,89,85,75,83,64
20240532,学生532,47,97,97,47,99,85
20240533,学生533,58,51,45,77,50,65
20240534,学生534,63,51,44,83,99,64
20240535,学生535,89,51,83,66,59,54
20240536,学生536,70,60,41,42,53,71
20240537,学生537,89,76,97,54,57,51
20240538,学生538,65,73,86,66,99,50
20240539,学生539,74,40,43,79,57,73
20240540,学生540,42,91,41,86,87,84
20240541,学生541,68,91,46,98,69,64
20240542,学生542,66,51,51,71,59,94
20240543,学生543,63,49,47,67,81,74
20240544,学生544,98,91,41,93,75,87
20240545,学生545,97,76,97,90,84,69
20240546,学生546,100,60,95,73,94,70
20240547,学生547,69,61,60,66,56,79
20240548,学生548,74,66,40,56,58,92
20240549,学生549,97,91,58,43,66,90
20240550,学生550,100,86,47,76,45,97
20240551,学生551,77,81,51,100,51,92
20240552,学生552,83,94,72,85,43,58
20240553,学生553,79,90,78,88,40,72
20240554,学生554,48,56,66,63,76,100
20240555,学生555,41,83,66,50,62,94
20240556,学生556,91,48,59,48,63,59
20240557,学生557,100,83,49,46,57,94
20240558,学生558,49,82,66,75,53,78
20240559,学生559,69,76,90,100,87,96
20240560,学生560,86,75,48,88,78,97
20240561,学生561,66,99,43,69,40,94
20240562,学生562,84,60,82,89,86,40
20240563,学生563,66,85,61,94,48,89
20240564,学生564,91,72,84,67,44,100
20240565,学生565,71,88,99,75,91,89
20240566,学生566,96,67,43,56,50,80
20240567,学生567,77,59,65,49,75,95
20240568,学生568,52,77,81,65,66,78
20240569,学生569,67,55,88,71,53,72
20240570,学生570,84,66,67,70,48,84
20240571,学生571,87,68,43,66,45,40
20240572,学生572,92,74,44,46,87,57
20240573,学生573,90,64,63,55,84,89
20240574,学生574,79,94,48,49,51,80
20240575,学生575,90,75,89,71,51,51
20240576,学生576,71,67,43,68,60,43
20240577,学生577,74,80,63,82,62,71
20240578,学生578,74,72,40,76,94,73
20240579,学生579,55,65,58,91,88,88
20240580,学生580,54,53,85,76,48,40
20240581,学生581,92,50,82,78,95,61
20240582,学生582,48,58,62,89,94,65
20240583,学生583,64,41,82,75,87,79
20240584,学生584,51,57,44,54,77,70
20240585,学生585,41,70,65,68,43,70
20240586,学生586,43,95,62,82,98,58
20240587,学生587,47,64,75,65,94,71
20240588,学生588,62,59,76,47,68,46
20240589,学生589,93,44,43,89,53,62
20240590,学生590,46,83,80,47,68,95
20240591,学生591,64,84,47,41,84,66
20240592,学生592,96,43,62,65,98,61
20240593,学生593,59,40,98,69,84,85
20240594,学生594,70,75,40,60,44,57
20240595,学生595,57,86,97,63,47,93
20240596,学生596,53,54,80,63,83,79
20240597,学生597,57,54,65,77,54,77
20240598,学生598,47,94,56,57,90,69
20240599,学生599,46,63,52,94,87,56
20240600,学生600,99,75,45,43,67,47
20240601,学生601,89,54,93,76,92,90
20240602,学生602,48,62,75,54,68,94
20240603,学生603,68,78,70,62,46,53
20240604,学生604,72,63,79,54,95,62
20240605,学生605,54,95,96,81,62,49
20240606,学生606,86,49,66,89,95,86
20240607,学生607,46,100,70,64,80,67
20240608,学生608,43,96,85,96,44,54
20240609,学生609,78,70,86,48,92,54
20240610,学生610,62,44,86,97,94,70
20240611,学生611,76,66,98,60,64,70
20240612,学生612,55,40,80,80,55,80
20240613,学生613,85,88,72,99,46,71
20240614,学生614,75,81,89,98,88,61
20240615,学生615,71,73,78,57,77,47
20240616,学生616,58,43,72,44,56,59
20240617,学生617,49,77,46,91,40,69
20240618,学生618,53,92,56,97,91,84
20240619,学生619,56,53,79,45,63,74
20240620,学生620,61,65,72,84,67,92
20240621,学生621,96,90,69,57,73,78
20240622,学生622,95,45,85,88,66,77
20240623,学生623,74,43,48,94,87,61
20240624,学生624,76,44,53,60,85,99
20240625,学生625,85,66,54,92,97,99
20240626,学生626,40,40,64,83,80,60
20240627,学生627,42,52,91,43,65,46
20240628,学生628,90,78,58,74,61,82
20240629,学生629,80,54,59,77,85,72
20240630,学生630,79,100,70,83,82,91
20240631,学生631,59,97,99,79,69,96
20240632,学生632,64,81,49,47,60,95
20240633,学生633,61,73,94,64,72,82
20240634,学生634,84,62,50,73,69,83
20240635,学生635,51,40,73,54,84,82
20240636,学生636,78,87,54,57,92,67
20240637,学生637,81,95,64,94,88,95
20240638,学生638,78,51,81,91,62,74
20240639,学生639,51,74,56,53,72,96
20240640,学生640,63,74,46,92,83,48
20240641,学生641,71,80,86,67,41,50
20240642,学生642,54,80,90,75,76,48
20240643,学生643,100,86,40,95,44,96
20240644,学生644,57,69,95,94,57,94
20240645,学生645,58,79,51,63,86,96
20240646,学生646,91,44,40,94,94,90
20240647,学生647,74,74,68,90,62,51
20240648,学生648,97,49,53,64,76,46
20240649,学生649,87,67,45,91,73,72
20240650,学生650,64,60,92,67,99,71
20240651,学生651,78,54,73,79,77,91
20240652,学生652,62,83,89,46,83,69
20240653,学生653,48,59,78,73,96,83
20240654,学生654,60,46,55,99,71,52
20240655,学生655,83,97,88,98,84,58
20240656,学生656,91,85,74,90,47,93
20240657,学生657,61,54,81,60,62,75
20240658,学生658,72,66,53,88,66,94
20240659,学生659,83,85,45,80,75,65
20240660,学生660,78,53,75,64,67,48
20240661,学生661,50,42,54,53,93,60
20240662,学生662,43,53,90,91,95,41
20240663,学生663,86,48,60,64,89,65
20240664,学生664,86,85,84,89,46,67
20240665,学生665,49,92,42,92,91,97
20240666,学生666,84,44,59,54,99,95
20240667,学生667,42,97,98,67,67,70
20240668,学生668,83,84,79,70,69,47
20240669,学生669,84,83,58,45,100,52
20240670,学生670,69,60,56,92,100,54
20240671,学生671,97,48,40,80,51,43
20240672,学生672,77,83,77,64,62,92
20240673,学生673,51,89,100,53,75,94
20240674,学生674,65,100,97,46,51,69
20240675,学生675,80,60,75,41,63,82
20240676,学生676,50,58,83,68,97,52
20240677,学生677,90,92,50,96,69,52
20240678,学生678,44,69,93,49,61,69
20240679,学生679,44,94,89,62,40,77
20240680,学生680,56,52,42,81,41,97
20240681,学生681,59,80,76,88,42,73
20240682,学生682,73,69,62,99,71,89
20240683,学生683,86,83,71,52,91,46
20240684,学生684,49,49,61,43,92,79
20240685,学生685,76,76,65,70,40,43
20240686,学生686,71,85,82,49,47,87
20240687,学生687,57,57,88,81,56,53
20240688,学生688,59,80,52,47,65,61
20240689,学生689,84,77,51,62,62,89
20240690,学生690,42,92,70,46,88,61
20240691,学生691,73,81,95,75,84,99
20240692,学生692,64,87,84,92,45,54
20240693,学生693,48,62,61,43,77,61
20240694,学生694,49,92,83,59,66,66
20240695,学生695,92,87,58,49,95,58
20240696,学生696,82,40,64,71,61,51
20240697,学生697,77,70,81,90,55,41
